Period,Feature,Horizon,Rank_IC
2022_BEAR,sector_flow,5d,-0.001996753973153197
2022_BEAR,sector_flow,10d,0.0013061899105489684
2022_BEAR,sector_flow,20d,-0.008277117188873894
2024H2,sector_flow,5d,-0.00035445841258706595
2024H2,sector_flow,10d,0.0009683573499633709
2024H2,sector_flow,20d,0.0008206188157117093
2025H1,sector_flow,5d,0.0034783353673557365
2025H1,sector_flow,10d,0.008777992284751752
2025H1,sector_flow,20d,0.006365203488321342
2025H2,sector_flow,5d,0.003486288579797957
2025H2,sector_flow,10d,0.00793633053275886
2025H2,sector_flow,20d,0.008216535453978
2026H1,sector_flow,5d,0.004128199322844328
2026H1,sector_flow,10d,0.006913476995090242
2026H1,sector_flow,20d,0.005937537472446644
